Red_Corner_Fighter,Blue_Corner_Fighter,Odds_Red_Fighter,Odds_Blue_Fighter,Winner
Thibault Gouti,Nasrat Haqparast,600,-750,Blue
Calvin Kattar,Chris Fishgold,-200,170,Red
Sarah Moras,Talita Bernardo,-170,150,Blue
Te Edwards,Don Madge,-450,360,Blue
Arjan Bhullar,Marcelo Golm,-160,140,Red
Stevie Ray,Jessin Ayari,-160,140,Red
Khabib Nurmagomedov,Conor McGregor,-190,165,Red
Tony Ferguson,Anthony Pettis,-355,295,Red
Ovince Saint Preux,Dominick Reyes,190,-230,Blue
Derrick Lewis,Alexander Volkov,135,-155,Red
Michelle Waterson,Felice Herrig,115,-135,Red
Sergio Pettis,Jussier Formiga,-190,165,Blue
Vicente Luque,Jalin Turner,-700,500,Red
Aspen Ladd,Tonya Evinger,-185,160,Red
Scott Holtzman,Alan Patrick,260,-320,Red
Lina Lansberg,Yana Kunitskaya,205,-245,Blue
Gray Maynard,Nik Lentz,190,-230,Blue
Ryan LaFlare,Anthony Rocco Martin,-125,105,Blue
Thiago Santos,Eryk Anders,-200,170,Red
Alex Oliveira,Carlo Pedersoli,-500,400,Red
Sam Alvey,Rogerio Nogueira,-350,290,Blue
Renan Barao,Andre Ewell,-200,170,Blue
Charles Oliveira,Christos Giagos,-470,375,Red
Francisco Trinaldo,Evan Dunham,-165,145,Red
Luis Henrique,Ryan Spann,-105,-115,Blue
Augusto Sakai,Chase Sherman,-230,190,Red
Sergio Moraes,Ben Saunders,-275,235,Red
Mayra Bueno Silva,Gillian Robertson,120,-140,Red
Thales Leites,Hector Lombard,-160,140,Red
Elizeu Zaleski dos Santos,Luigi Vendramini,-1000,650,Red
Livinha Souza,Alex Chambers,-1500,1000,Red
Mark Hunt,Aleksei Oleinik,-120,100,Blue
Jan Blachowicz,Nikita Krylov,125,-145,Red
Andrei Arlovski,Shamil Abdurakhimov,120,-140,Blue
Aleksei Kunchenko,Thiago Alves,-440,350,Red
Khalid Murtazaliev,CB Dollaway,-165,145,Red
Petr Yan,Jin Soo Son,-1200,775,Red
Rustam Khabilov,Kajan Johnson,-840,570,Red
Mairbek Taisumov,Desmond Green,-600,450,Red
Magomed Ankalaev,Marcin Prachnio,-560,430,Red
Adam Yandiev,Jordan Johnson,240,-280,Blue
Ramazan Emeev,Stefan Sekulic,-680,490,Red
Merab Dvalishvili,Terrion Ware,-550,425,Red
Tyron Woodley,Darren Till,-105,-115,Red
Jessica Andrade,Karolina Kowalkiewicz,-450,360,Red
Zabit Magomedsharipov,Brandon Davis,-1375,900,Red
Jimmie Rivera,John Dodson,-150,130,Red
Abdul Razak Alhassan,Niko Price,-110,-110,Red
Carla Esparza,Tatiana Suarez,335,-420,Blue
Aljamain Sterling,Cody Stamann,-170,150,Red
Geoff Neal,Frank Camacho,-210,175,Red
Charles Byrd,Darren Stewart,-170,150,Blue
Diego Sanchez,Craig White,175,-210,Red
Jim Miller,Alex White,155,-175,Red
Irene Aldana,Lucie Pudilova,-110,-110,Red
Roberto Sanchez,Jarred Brooks,175,-190,Blue
Justin Gaethje,James Vick,120,-140,Red
Michael Johnson,Andre Fili,100,-120,Red
Cortney Casey,Angela Hill,115,-135,Red
Jake Ellenberger,Bryan Barberena,335,-420,Blue
John Moraga,Deiveson Figueiredo,150,-170,Blue
Eryk Anders,Tim Williams,-1200,775,Red
James Krause,Warlley Alves,270,-330,Red
Cory Sandhagen,Iuri Alcantara,-200,170,Red
Andrew Sanchez,Markus Perez,-140,120,Red
Mickey Gall,George Sullivan,-325,295,Red
Joanne Calderwood,Kalindra Faria,-185,160,Red
Drew Dober,Jon Tuck,-240,200,Red
Rani Yahya,Luke Sanders,-105,-115,Red
TJ Dillashaw,Cody Garbrandt,-125,105,Red
Demetrious Johnson,Henry Cejudo,-470,375,Blue
Cub Swanson,Renato Moicano,250,-300,Blue
Polyana Viana,JJ Aldrich,-155,135,Blue
Thiago Santos,Kevin Holland,-340,280,Red
Pedro Munhoz,Brett Johns,-210,175,Red
Ricky Simon,Montel Jackson,105,-125,Red
Ricardo Ramos,Kyung Ho Kang,-275,235,Red
Matt Sayles,Sheymon Moraes,-140,120,Blue
Alex Perez,Jose Torres,-120,100,Red
Danielle Taylor,Weili Zhang,260,-320,Blue
Marlon Vera,Wuliji Buren,-470,375,Red
Eddie Alvarez,Dustin Poirier,135,-155,Blue
Jose Aldo,Jeremy Stephens,100,-120,Red
Joanna Jedrzejczyk,Tecia Torres,-320,260,Red
Alexander Hernandez,Olivier Aubin-Mercier,-110,-110,Red
Jordan Mein,Alex Morono,-150,130,Red
Hakeem Dawodu,Austin Arnett,-470,375,Red
Kajan Johnson,Islam Makhachev,450,-600,Blue
Gadzhimurad Antigulov,Ion Cutelaba,115,-135,Blue
John Makdessi,Ross Pearson,-235,195,Red
Alexis Davis,Katlyn Chookagian,140,-160,Blue
Dustin Ortiz,Matheus Nicolau,170,-200,Red
Randa Markos,Nina Ansaroff,120,-140,Blue
Devin Powell,Alvaro Herrera,-105,-115,Red
Mauricio Rua,Anthony Smith,-150,130,Blue
Glover Teixeira,Corey Anderson,-120,100,Blue
Vitor Miranda,Abu Azaitar,175,-210,Blue
Marcin Tybura,Stefan Struve,-190,165,Red
Danny Roberts,David Zawada,-210,175,Red
Nasrat Haqparast,Marc Diakiese,140,-160,Red
Nick Hein,Damir Hadzovic,-150,130,Blue
Emil Meek,Bartosz Fabinski,-140,120,Blue
Khalid Taha,Nad Narimani,180,-220,Blue
Justin Ledet,Aleksandar Rakic,-105,-115,Blue
Davey Grant,Manny Bermudez,260,-320,Blue
Jeremy Kimball,Darko Stosic,190,-230,Blue
Damian Stasiak,Liu Pingyuan,-125,105,Blue
Junior Dos Santos,Blagoy Ivanov,-190,165,Red
Sage Northcutt,Zak Ottow,-125,-105,Red
Dennis Bermudez,Rick Glenn,-185,160,Blue
Randy Brown,Niko Price,-130,110,Blue
Myles Jury,Chad Mendes,100,-120,Blue
Cat Zingano,Marion Reneau,-110,-110,Red
Eddie Wineland,Alejandro Perez,155,-175,Blue
Darren Elkins,Alexander Volkanovski,180,-220,Blue
Justin Scoggins,Said Nurmagomedov,-105,-115,Blue
Kurt Holobaugh,Raoni Barcelos,-165,145,Blue
Liz Carmouche,Jennifer Maia,-115,-105,Red
Mark De La Rosa,Elias Garcia,115,-135,Red
Jessica Aguilar,Jodie Esquibel,150,-170,Red
Stipe Miocic,Daniel Cormier,-160,140,Blue
Francis Ngannou,Derrick Lewis,-310,255,Blue
Paul Felder,Mike Perry,-170,150,Blue
Michael Chiesa,Anthony Pettis,-175,155,Blue
Gokhan Saki,Khalil Rountree Jr.,-160,140,Blue
Uriah Hall,Paulo Costa,245,-290,Blue
Raphael Assuncao,Rob Font,-140,120,Red
Lando Vannata,Drakkar Klose,-200,170,Blue
Curtis Millender,Max Griffin,-170,150,Red
Dan Hooker,Gilbert Burns,-115,-105,Red
Jamie Moyle,Emily Whitmire,-185,160,Blue
Brad Tavares,Israel Adesanya,-105,-115,Blue
Michael Trizano,Joe Giannetti,130,-150,Red
Jay Cucciniello,Brad Katona,220,-260,Blue
Alex Caceres,Martin Bravo,-130,110,Red
Roxanne Modafferi,Barb Honchak,130,-150,Red
Alessio Di Chirico,Julian Marquez,115,-135,Red
Montana De La Rosa,Rachael Ostovich,-145,125,Red
Luis Pena,Richie Smullen,-380,315,Red
John Gunther,Allan Zuniga,-130,110,Red
Tyler Diamond,Bryce Mitchell,120,-140,Blue
Matt Bessette,Steven Peterson,-125,105,Blue
Gerald Meerschaert,Oskar Piechota,180,-220,Red
Donald Cerrone,Leon Edwards,215,-255,Blue
Ovince Saint Preux,Tyson Pedro,125,-145,Red
Jessica-Rose Clark,Jessica Eye,-165,145,Blue
Li Jingliang,Daichi Abe,-245,205,Red
Teruto Ishihara,Petr Yan,450,-600,Blue
Felipe Arantes,Song Yadong,-105,-115,Blue
Rolando Dy,Shane Young,145,-165,Blue
Song Kenan,Hector Aldana,-290,245,Red
Shinsho Anzai,Jake Matthews,450,-600,Blue
Viviane Pereira,Yan Xiaonan,-165,145,Blue
Matt Schnell,Naoki Inoue,165,-190,Red
Jenel Lausa,Ulka Sasaki,200,-240,Blue
Ji Yeon Kim,Melinda Fabian,-170,150,Red
Robert Whittaker,Yoel Romero,-275,235,Red
Rafael Dos Anjos,Colby Covington,115,-135,Blue
Holly Holm,Megan Anderson,-145,125,Red
Andrei Arlovski,Tai Tuivasa,190,-230,Blue
CM Punk,Mike Jackson,165,-190,Blue
Alistair Overeem,Curtis Blaydes,170,-200,Blue
Claudia Gadelha,Carla Esparza,-270,230,Red
Ricardo Lamas,Mirsad Bektic,205,-245,Blue
Rashad Coulter,Chris de la Rocha,-115,-105,Blue
Rashad Evans,Anthony Smith,188,-205,Blue
Joseph Benavidez,Sergio Pettis,-200,170,Blue
Clay Guida,Charles Oliveira,120,-140,Blue
Mike Santiago,Dan Ige,-110,-110,Blue
Jimmie Rivera,Marlon Moraes,-120,100,Blue
Gregor Gillespie,Vinc Pichel,-400,325,Red
Walt Harris,Daniel Spitz,-220,180,Red
Jake Ellenberger,Ben Saunders,-160,140,Blue
Julio Arce,Daniel Teymur,-185,160,Red
Gian Villante,Sam Alvey,135,-155,Blue
Sijara Eubanks,Lauren Murphy,-210,175,Red
Nik Lentz,David Teymur,250,-300,Blue
Belal Muhammad,Chance Rencountre,-450,360,Red
Desmond Green,Gleison Tibau,-1200,600,Red
Johnny Eduardo,Nathaniel Wood,205,-245,Blue
Jarred Brooks,Jose Torres,125,-145,Blue
Stephen Thompson,Darren Till,-150,130,Blue
Neil Magny,Craig White,-750,525,Red
Arnold Allen,Mads Burnell,-245,205,Red
Jason Knight,Makwan Amirkhani,-170,150,Blue
Claudio Silva,Nordine Taleb,325,-400,Red
Eric Spicely,Darren Stewart,-160,140,Blue
Daniel Kelly,Tom Breese,315,-380,Blue
Lina Lansberg,Gina Mazany,140,-160,Red
Bradley Scott,Carlo Pedersoli,120,-140,Blue
Gillian Robertson,Molly McCann,135,-155,Red
Elias Theodorou,Trevor Smith,-390,320,Red
Demian Maia,Kamaru Usman,415,-525,Blue
Alexa Grasso,Tatiana Suarez,425,-550,Blue
Jared Cannonier,Dominick Reyes,180,-220,Blue
Diego Rivas,Guido Cannetti,-175,155,Blue
Veronica Macedo,Andrea Lee,280,-340,Blue
Vicente Luque,Chad Laprise,-235,195,Red
Zak Cummings,Michel Prazeres,-190,165,Blue
Brandon Moreno,Alexandre Pantoja,-110,-110,Blue
Poliana Botelho,Syuri Kondo,-174,164,Red
Gabriel Benitez,Humberto Bandenay,-155,145,Red
Enrique Barzola,Brandon Davis,-235,195,Red
Henry Briones,Frankie Saenz,280,-340,Blue
Claudio Puelles,Felipe Silva,265,-325,Red
Amanda Nunes,Raquel Pennington,-700,500,Red
Jacare Souza,Kelvin Gastelum,-115,-105,Blue
Mackenzie Dern,Amanda Cooper,-260,220,Red
John Lineker,Brian Kelleher,-265,225,Red
Vitor Belfort,Lyoto Machida,165,-190,Blue
Cezar Ferreira,Karl Roberson,-150,130,Red
Aleksei Oleinik,Junior Albini,135,-145,Red
Davi Ramos,Nick Hein,-185,160,Red
Elizeu Zaleski dos Santos,Sean Strickland,100,-120,Red
Warlley Alves,Sultan Aliev,-280,240,Red
Thales Leites,Jack Hermansson,110,-130,Blue
Alberto Mina,Ramazan Emeev,150,-170,Blue
Markus Perez,James Bochnovic,-300,250,Red
Edson Barboza,Kevin Lee,145,-165,Blue
Frankie Edgar,Cub Swanson,-275,235,Red
Justin Willis,Chase Sherman,-290,245,Red
David Branch,Thiago Santos,140,-160,Red
Aljamain Sterling,Brett Johns,-115,-105,Red
Jim Miller,Dan Hooker,250,-300,Blue
Ryan LaFlare,Alex Garcia,-150,130,Red
Merab Dvalishvili,Ricky Simon,-110,-110,Blue
Siyar Bahadurzada,Luan Chagas,150,-170,Red
Corey Anderson,Patrick Cummins,-165,145,Red
Anthony Rocco Martin,Keita Nakamura,-200,170,Red
Dustin Poirier,Justin Gaethje,-125,105,Red
Carlos Condit,Alex Oliveira,155,-175,Blue
Israel Adesanya,Marvin Vettori,-245,205,Red
Michelle Waterson,Cortney Casey,145,-165,Red
Tim Boetsch,Antonio Carlos Junior,220,-260,Blue
Muslim Salikhov,Ricky Rainey,-210,175,Red
Wilson Reis,John Moraga,-120,100,Blue
Krzysztof Jotko,Brad Tavares,-130,110,Blue
Gilbert Burns,Dan Moret,-640,470,Red
Shana Dobson,Lauren Mueller,140,-160,Blue
Dhiego Lima,Yushin Okami,105,-125,Blue
Arjan Bhullar,Adam Wieczorek,-325,265,Blue
Matthew Lopez,Alejandro Perez,-110,-110,Blue
Luke Sanders,Patrick Williams,-430,345,Red
Khabib Nurmagomedov,Al Iaquinta,-640,470,Red
Rose Namajunas,Joanna Jedrzejczyk,-110,-110,Red
Renato Moicano,Calvin Kattar,-115,-105,Red
Zabit Magomedsharipov,Kyle Bochniak,-700,500,Red
Joe Lauzon,Chris Gruetzemacher,-145,125,Blue
Karolina Kowalkiewicz,Felice Herrig,-190,165,Red
Evan Dunham,Olivier Aubin-Mercier,-140,120,Blue
Bec Rawlings,Ashlee Evans-Smith,170,-200,Blue
Devin Clark,Mike Rodriguez,-105,-115,Red
Fabricio Werdum,Alexander Volkov,-210,175,Blue
Jimi Manuwa,Jan Blachowicz,-150,130,Blue
Tom Duquesnoy,Terrion Ware,-430,345,Red
Leon Edwards,Peter Sobotta,-190,165,Red
John Phillips,Charles Byrd,-115,-105,Blue
Danny Roberts,Oliver Enkamp,-130,110,Red
Danny Henry,Hakeem Dawodu,240,-260,Red
Paul Craig,Magomed Ankalaev,550,-800,Red
Stevie Ray,Kajan Johnson,-210,175,Blue
Mark Godbeer,Dmitry Sosnovskiy,220,-260,Blue
Cris Cyborg,Yana Kunitskaya,-1000,650,Red
Frankie Edgar,Brian Ortega,-155,135,Blue
Sean O'Malley,Andre Soukhamthath,-145,125,Red
Stefan Struve,Andrei Arlovski,-185,160,Blue
Cat Zingano,Ketlen Vieira,175,-210,Blue
Ashley Yoder,Mackenzie Dern,390,-490,Blue
Beneil Dariush,Alexander Hernandez,-420,335,Blue
John Dodson,Pedro Munhoz,-160,140,Red
CB Dollaway,Hector Lombard,-110,-110,Red
Mike Pyle,Zak Ottow,270,-330,Blue
Bryan Caraway,Cody Stamann,-105,-115,Blue
Jordan Johnson,Adam Milstead,-255,215,Red
Josh Emmett,Jeremy Stephens,110,-130,Blue
Jessica Andrade,Tecia Torres,-250,210,Red
Ovince Saint Preux,Ilir Latifi,-165,145,Blue
Mike Perry,Max Griffin,-300,250,Blue
Renan Barao,Brian Kelleher,-165,145,Blue
Sara McMann,Marion Reneau,-190,165,Blue
Maryna Moroz,Angela Hill,130,-150,Blue
Ben Saunders,Alan Jouban,210,-250,Blue
Sam Alvey,Marcin Prachnio,180,-220,Red
Rani Yahya,Russell Doane,-220,180,Red
Eric Shelton,Alex Perez,-140,120,Blue
Albert Morales,Manny Bermudez,155,-175,Blue
Donald Cerrone,Yancy Medeiros,100,-120,Red
Derrick Lewis,Marcin Tybura,-110,-110,Red
James Vick,Francisco Trinaldo,-210,175,Red
Thiago Alves,Curtis Millender,-150,130,Blue
Steven Peterson,Brandon Davis,130,-150,Blue
Sage Northcutt,Thibault Gouti,-375,313,Red
Jared Gordon,Diego Ferreira,-175,155,Blue
Geoff Neal,Brian Camozzi,-210,175,Red
Roberto Sanchez,Joby Sanchez,135,-145,Red
Sarah Moras,Lucie Pudilova,130,-150,Blue
Joshua Burkman,Alex Morono,300,-360,Blue
Oskar Piechota,Tim Williams,-340,280,Red
Yoel Romero,Luke Rockhold,160,-185,Red
Mark Hunt,Curtis Blaydes,165,-190,Blue
Tai Tuivasa,Cyril Asker,-275,235,Red
Jake Matthews,Li Jingliang,125,-145,Red
Tyson Pedro,Saparbeg Safarov,-300,250,Red
Damien Brown,Dong Hyun Ma,115,-135,Blue
Rob Wilkinson,Israel Adesanya,305,-365,Blue
Alexander Volkanovski,Jeremy Kennedy,-200,170,Red
Jussier Formiga,Ben Nguyen,-110,-110,Red
Ross Pearson,Mizuto Hirota,-160,140,Red
Teruto Ishihara,Jose Quinonez,135,-155,Blue
Luke Jumeau,Daichi Abe,140,-160,Red
Lyoto Machida,Eryk Anders,205,-245,Red
Valentina Shevchenko,Priscila Cachoeira,-1100,700,Red
Michel Prazeres,Desmond Green,-120,100,Red
Tim Johnson,Marcelo Golm,150,-170,Red
Douglas Silva de Andrade,Marlon Vera,165,-190,Red
Thiago Santos,Anthony Smith,-255,215,Red
Sergio Moraes,Tim Means,173,-205,Red
Alan Patrick,Damir Hadzovic,-240,200,Red
Maia Stevenson,Polyana Viana,350,-440,Blue
Iuri Alcantara,Joe Soto,-120,100,Red
Deiveson Figueiredo,Joseph Morales,110,-130,Red
Jacare Souza,Derek Brunson,120,-140,Red
Dennis Bermudez,Andre Fili,-150,130,Blue
Jordan Rinaldi,Gregor Gillespie,425,-550,Blue
Drew Dober,Frank Camacho,-140,120,Red
Erik Koch,Bobby Green,155,-175,Blue
Mirsad Bektic,Godofredo Pepey,-550,425,Red
Katlyn Chookagian,Mara Romero Borella,-190,165,Red
Randa Markos,Juliana Lima,-155,135,Red
Justine Kish,Ji Yeon Kim,-160,140,Blue
Vinc Pichel,Joaquim Silva,110,-130,Red
Niko Price,George Sullivan,-365,305,Red
Austin Arnett,Cory Sandhagen,170,-200,Blue
Stipe Miocic,Francis Ngannou,150,-170,Red
Daniel Cormier,Volkan Oezdemir,-345,285,Red
Calvin Kattar,Shane Burgos,190,-230,Red
Gian Villante,Francimar Barroso,-155,135,Red
Thomas Almeida,Rob Font,-145,125,Blue
Kyle Bochniak,Brandon Davis,120,-140,Red
Sabah Homasi,Abdul Razak Alhassan,168,-195,Blue
Dustin Ortiz,Alexandre Pantoja,-135,115,Red
Dan Ige,Julio Arce,120,-140,Blue
Matt Bessette,Enrique Barzola,245,-290,Blue
Islam Makhachev,Gleison Tibau,-290,245,Red
Jeremy Stephens,Dooho Choi,145,-165,Red
Paige VanZant,Jessica-Rose Clark,-120,100,Blue
Kamaru Usman,Emil Meek,-750,525,Red
Darren Elkins,Michael Johnson,175,-210,Red
James Krause,Alex White,-180,158,Red
Matt Frevola,Polo Reyes,-200,185,Blue
Talita Bernardo,Irene Aldana,115,-135,Blue
Kyung Ho Kang,Guido Cannetti,-290,245,Red
Kalindra Faria,Jessica Eye,115,-135,Blue
Danielle Taylor,JJ Aldrich,110,-130,Blue
Mads Burnell,Mike Santiago,165,-190,Red
Cris Cyborg,Holly Holm,-325,265,Red
Khabib Nurmagomedov,Edson Barboza,-410,330,Red
Dan Hooker,Marc Diakiese,165,-190,Red
Cynthia Calvillo,Carla Esparza,-220,180,Blue
Carlos Condit,Neil Magny,-130,110,Blue
Myles Jury,Rick Glenn,-175,155,Red
Louis Smolka,Matheus Nicolau,170,-200,Blue
Tim Elliott,Mark De La Rosa,-190,165,Red
Robbie Lawler,Rafael Dos Anjos,105,-125,Blue
Ricardo Lamas,Josh Emmett,-290,245,Blue
Santiago Ponzinibbio,Mike Perry,-155,135,Red
Glover Teixeira,Misha Cirkunov,125,-145,Red
Jared Cannonier,Jan Blachowicz,-190,165,Blue
Julian Marquez,Darren Stewart,-340,280,Red
Chad Laprise,Galore Bofando,-145,125,Red
Nordine Taleb,Danny Roberts,-155,135,Red
John Makdessi,Abel Trujillo,125,-145,Red
Alessio Di Chirico,Oluwale Bamgbose,-160,140,Red
Jordan Mein,Erick Silva,-160,140,Red
Cub Swanson,Brian Ortega,100,-120,Blue
Jason Knight,Gabriel Benitez,-330,270,Blue
Marlon Moraes,Aljamain Sterling,-145,135,Red
Scott Holtzman,Darrell Horcher,-145,125,Red
Eryk Anders,Markus Perez,-470,375,Red
Albert Morales,Benito Lopez,105,-125,Blue
Alexis Davis,Liz Carmouche,105,-125,Red
Luke Sanders,Andre Soukhamthath,-345,285,Blue
Carls John De Tomas,Alex Perez,335,-420,Blue
Frankie Saenz,Merab Dvalishvili,165,-190,Red
Alejandro Perez,Iuri Alcantara,155,-175,Red
Chris Gruetzemacher,Davi Ramos,325,-400,Blue
Antonio Braga Neto,Trevin Giles,230,-270,Blue
Max Holloway,Jose Aldo,-260,220,Red
Alistair Overeem,Francis Ngannou,210,-230,Blue
Henry Cejudo,Sergio Pettis,-320,260,Red
Eddie Alvarez,Justin Gaethje,150,-170,Red
Tecia Torres,Michelle Waterson,-250,210,Red
Charles Oliveira,Paul Felder,-135,115,Blue
Alex Oliveira,Yancy Medeiros,-390,320,Blue
David Teymur,Drakkar Klose,-130,110,Red
Felice Herrig,Cortney Casey,-115,-105,Red
Amanda Cooper,Angela Magana,-525,415,Red
Sabah Homasi,Abdul Razak Alhassan,225,-265,Blue
Jeremy Kimball,Dominick Reyes,415,-525,Blue
Justin Willis,Allen Crowder,-230,190,Red
Nicco Montano,Roxanne Modafferi,-210,175,Red
Sean O'Malley,Terrion Ware,-230,190,Red
Barb Honchak,Lauren Murphy,-240,200,Blue
Eric Spicely,Gerald Meerschaert,150,-170,Blue
Joe Soto,Brett Johns,145,-165,Blue
Christina Marks,Montana De La Rosa,300,-360,Blue
Andrew Sanchez,Ryan Janes,-600,450,Blue
Karine Gevorgyan,Rachael Ostovich,375,-420,Blue
Ariel Beck,Shana Dobson,165,-190,Blue
Gillian Robertson,Emily Whitmire,165,-190,Red
Michael Bisping,Kelvin Gastelum,243,-285,Blue
Li Jingliang,Zak Ottow,-200,170,Red
Wang Guan,Alex Caceres,120,-140,Red
Muslim Salikhov,Alex Garcia,-220,180,Blue
Zabit Magomedsharipov,Sheymon Moraes,-500,400,Red
Song Kenan,Bobby Nash,250,-300,Red
Kailin Curran,Yan Xiaonan,120,-140,Blue
Song Yadong,Bharat Kandare,-160,140,Red
Chase Sherman,Shamil Abdurakhimov,105,-125,Blue
Wu Yanan,Gina Mazany,-130,120,Blue
Wuliji Buren,Rolando Dy,140,-150,Blue
Cyril Asker,Hu Yaozong,-250,210,Red
Fabricio Werdum,Marcin Tybura,-300,250,Red
Bec Rawlings,Jessica-Rose Clark,-130,110,Blue
Tim Means,Belal Muhammad,-210,175,Blue
Jake Matthews,Bojan Velickovic,-140,120,Red
Elias Theodorou,Daniel Kelly,-310,255,Red
Alexander Volkanovski,Shane Young,-640,470,Red
Ryan Benoit,Ashkan Mokhtarian,-290,245,Red
Nik Lentz,Will Brooks,345,-430,Red
Rashad Coulter,Tai Tuivasa,155,-175,Blue
Damien Brown,Frank Camacho,105,-125,Blue
Alex Chambers,Nadia Kassem,170,-200,Blue
Jenel Lausa,Eric Shelton,270,-330,Blue
Anthony Hamilton,Adam Wieczorek,155,-175,Blue
Dustin Poirier,Anthony Pettis,-110,-110,Red
Matt Brown,Diego Sanchez,-350,290,Red
Junior Albini,Andrei Arlovski,-320,260,Blue
Nate Marquardt,Cezar Ferreira,225,-265,Blue
Raphael Assuncao,Matthew Lopez,-370,310,Red
Joe Lauzon,Clay Guida,105,-125,Blue
John Dodson,Marlon Moraes,-125,105,Blue
Tatiana Suarez,Viviane Pereira,-285,243,Red
Sage Northcutt,Michel Quinones,-190,165,Red
Angela Hill,Nina Ansaroff,-170,150,Blue
Court McGee,Sean Strickland,245,-290,Blue
Jake Collier,Marcel Fortuna,215,-255,Red
Darren Stewart,Karl Roberson,185,-255,Blue
Michael Bisping,Georges St-Pierre,-120,100,Blue
Cody Garbrandt,TJ Dillashaw,-210,175,Blue
Joanna Jedrzejczyk,Rose Namajunas,-700,500,Blue
Stephen Thompson,Jorge Masvidal,-190,165,Red
Johny Hendricks,Paulo Costa,305,-365,Blue
James Vick,Joe Duffy,135,-155,Red
Walt Harris,Mark Godbeer,-370,310,Blue
Ovince Saint Preux,Corey Anderson,-175,155,Red
Randy Brown,Mickey Gall,105,-125,Red
Aleksei Oleinik,Curtis Blaydes,250,-300,Blue
Aiemann Zahabi,Ricardo Ramos,165,-190,Blue
Derek Brunson,Lyoto Machida,-145,135,Red
Demian Maia,Colby Covington,-120,100,Blue
Pedro Munhoz,Rob Font,155,-175,Red
Francisco Trinaldo,Jim Miller,-220,180,Red
Thiago Santos,Jack Hermansson,-110,-110,Red
John Lineker,Marlon Vera,-485,385,Red
Vicente Luque,Niko Price,-130,110,Red
Antonio Carlos Junior,Jack Marshman,-370,330,Red
Hacran Dias,Jared Gordon,135,-155,Blue
Elizeu Zaleski dos Santos,Max Griffin,-230,190,Red
Deiveson Figueiredo,Jarred Brooks,125,-145,Red
Marcelo Golm,Christian Colombo,-265,225,Red
Donald Cerrone,Darren Till,-150,130,Blue
Karolina Kowalkiewicz,Jodie Esquibel,-600,450,Red
Jan Blachowicz,Devin Clark,130,-150,Red
Oskar Piechota,Jonathan Wilson,-220,180,Red
Marcin Held,Nasrat Haqparast,-355,295,Red
Damian Stasiak,Brian Kelleher,-115,-105,Blue
Sam Alvey,Ramazan Emeev,130,-150,Blue
Artem Lobov,Andre Fili,150,-170,Blue
Salim Touahri,Warlley Alves,250,-300,Blue
Lina Lansberg,Aspen Ladd,200,-240,Blue
Felipe Arantes,Josh Emmett,200,-240,Blue
Tony Ferguson,Kevin Lee,-290,245,Red
Demetrious Johnson,Ray Borg,-1000,650,Red
Fabricio Werdum,Walt Harris,-210,175,Red
Mara Romero Borella,Kalindra Faria,215,-255,Red
Tom Duquesnoy,Cody Stamann,-160,140,Blue
Pearl Gonzalez,Poliana Botelho,140,-160,Blue
Matt Schnell,Marco Beltran,-125,105,Red
John Moraga,Magomed Bibulatov,425,-550,Red
Thales Leites,Brad Tavares,155,-175,Blue
Ovince Saint Preux,Yushin Okami,-430,345,Red
Claudia Gadelha,Jessica Andrade,-290,245,Blue
Takanori Gomi,Dong Hyun Ma,290,-350,Blue
Gokhan Saki,Henrique da Silva,-200,170,Red
Teruto Ishihara,Rolando Dy,-155,135,Red
Jussier Formiga,Ulka Sasaki,-420,335,Red
Keita Nakamura,Alex Morono,-110,-110,Red
Syuri Kondo,Chanmi Jeon,-150,130,Red
Shinsho Anzai,Luke Jumeau,215,-255,Red
Daichi Abe,Hyun Gyu Lim,100,-120,Red
Luke Rockhold,David Branch,-500,400,Red
Mike Perry,Alex Reyes,-420,335,Red
Hector Lombard,Anthony Smith,135,-155,Blue
Gregor Gillespie,Jason Gonzalez,-420,335,Red
Kamaru Usman,Sergio Moraes,-1000,650,Red
Justin Ledet,Zu Anyanwu,-470,375,Red
Anthony Rocco Martin,Olivier Aubin-Mercier,-115,-105,Blue
Anthony Hamilton,Daniel Spitz,-192,177,Blue
Krzysztof Jotko,Uriah Hall,-200,170,Blue
Jason Saggo,Gilbert Burns,130,-150,Blue
Amanda Nunes,Valentina Shevchenko,125,-145,Red
Neil Magny,Rafael Dos Anjos,165,-190,Blue
Henry Cejudo,Wilson Reis,-400,325,Red
Ilir Latifi,Tyson Pedro,120,-140,Red
Jeremy Stephens,Gilbert Melendez,-115,-105,Red
Sara McMann,Ketlen Vieira,-200,170,Blue
Sarah Moras,Ashlee Evans-Smith,260,-320,Red
Gavin Tucker,Rick Glenn,-370,310,Blue
Mitch Clarke,Alex White,180,-220,Blue
Luis Henrique,Arjan Bhullar,175,-210,Blue
Kajan Johnson,Adriano Martins,450,-600,Red
Alexander Volkov,Stefan Struve,-130,110,Red
Siyar Bahadurzada,Rob Wilkinson,-130,110,Red
Marion Reneau,Talita Bernardo,-320,260,Red
Leon Edwards,Bryan Barberena,-250,210,Red
Darren Till,Bojan Velickovic,-190,165,Red
Mairbek Taisumov,Felipe Silva,-525,450,Red
Michel Prazeres,Mads Burnell,-390,320,Red
Rustam Khabilov,Desmond Green,-250,210,Red
Francimar Barroso,Aleksandar Rakic,125,-145,Blue
