Track,Horse,BetType,Odds,Winner
Haydock,Friendly Royal,Win,3.25,Lose
Haydock,Nansaroy,Win,2.38,Lose
Wolverhampton,Seraphima,Each Way,17,Lose
Lingfield,Ghost Train,Each Way,7,Win
Lingfield,Cambodia,Win,3.25,Lose
Punchestown,Ice Cool,Win,2.62,Win
Cheltenham,Preseli Rock,Each Way,13,Win
Cheltenham,Singlefarmpayment,Each Way,9,Win
Exeter,Winning Spark,Each Way,5,Lose
SouthWell,Crosse Fire,Each Way,4.5,Win
SouthWell,Two Moons,Each Way,5.5,Lose
Sandown,Arthurs Oak,Win,5,Lose
SouthWell,Shootingsta,Win,3.5,Lose
SouthWell,Grey Destiny,Win,3.25,Lose
Chelmsford,Money Team,Win,2.88,Win
Wolverhampton,Coreczka,Each Way,6.5,Lose
SouthWell,Patriotic,Win,2,Win
SouthWell,Westwood Hoe,Win,3.5,Lose
SouthWell,Swift Cedar,Win,3,Lose
Wolverhampton,Miss Understood,Each Way,4.5,Lose
Huntingdon,Qasser,Each Way,11,Lose
Wolverhampton,Lawyer,Each Way,5.5,Lose
Towcester,Happy Diva,Win,2.5,Lose
Meydan,Le Bernardin,Win,7,Win
Meydan,Surfer,Win,6,Lose
Meydan,One Man Band,Win,2.75,Win
Lingfield,Go Charlie,Each Way,8,Lose
Lingfield,Barye,Win,2.25,Win
Dundalk,Geological,Each Way,7,Win
Punchestown,Arctic Skipper,Win,3.25,Lose
Chepstow,Never Equalled,Each Way,7,Win
Chepstow,Mountainous,Win,10,Win
Chepstow,Cogry,Win,8,Lose
Punchestown,Diamoned King,Win,2.62,Win
Chepstow,Matchaway,Win,3,Lose
Fairyhouse,Tocororo,Win,2.62,Win
SouthWell,Philba,Win,4.5,Lose
Wolverhampton,Effusive,Win,2.1,Lose
Wolverhampton,Roman De Brut,Win,3.75,Lose
Kempton,Royal Normandy,Win,3.75,Lose
Lingfield,Red Rannagh,Win,7,Lose
Chelmsford,Money Team,Win,2.38,Lose
Taunton,Winning Spark,Each Way,6,Win
Kempton,Chookie Royale,Win,2.38,Win
Meydan,Muhtaram,Each Way,6.5,Lose
Chelmsford,San Quentin,Win,3.75,Win
Chelmsford,Steal The Scene,Each Way,4.33,Lose
Wolverhampton,Rich Again,Each Way,7.5,Lose
Wolverhampton,Believe It,Win,3.25,Lose
Warwick,Tullow Tonic,Each Way,6,Lose
Warwick,Kingscourt Native,Each Way,13,Lose
Warwick,Thomas Hobson,Win,6.5,Win
Naas,Joshua Lane,Each Way,12,Lose
Leopardstown,Our Duke,Win,3.5,Win
Leopardstown,Colla Pier,Each Way,21,Lose
Leopardstown,After Rain,Each Way,7,Lose
Kempton,Royal Normandy,Win,2.62,Lose
Wolverhampton,Go Charlie,Each Way,8.5,Lose
SouthWell,Boolass,Win,3.75,Lose
Ayr,Infrontofthejudge,Each Way,4,Lose
SouthWell,Kemsing,Win,2.88,Lose
Lingfield,Fearbuster,Win,2.25,Lose
Musselburgh,Teo Vivo,Win,10,Lose
Musselburgh,Zaidiyn,Win,4.5,Lose
Fairyhouse,Shannak,Win,2.75,Win
SouthWell,Greyfriarschorista,Win,3.5,Lose
Gowran Park,Mala Beach,Win,9,Lose
Galway,Gala Ball,Each Way,6,Win
Meydan,Keep In Line,Each Way,13,Lose
Market Rasen,Away For Slates,Each Way,5.5,Lose
Dundalk,Shinyhappyjohn,Each Way,7,Lose
Dundalk,Rose Angel,Win,3.25,Lose
Lingfield,Bromyard,Win,2.5,Win
Haydock,Itsafreebee,Win,6,Win
Haydock,Virak,Each Way,6.5,Win
Chelmsford,Kyllach Me,Win,2.5,Lose
Leopardstown,Eiri Na Casca,Each Way,8,Lose
Kempton,Opening Batsman,Each Way,5.5,Lose
SouthWell,Royal Marskell,Each Way,7.5,Lose
SouthWell,Mappin Time,Win,3.5,Lose
Wetherby,Ballybolley,Each Way,7.5,Win
Thurles,Exit Seven,Win,3.75,Lose
Cartmel,Cartographic,Win,2.38,Lose
SouthWell,Jaarih,Each Way,4.5,Win
Thurles,Driscough Boy,Win,5,Lose
Meydan,Divine,Each Way,5,Lose
Meydan,Bossy Guest,Each Way,13,Lose
Meydan,Emirates Skycargo,Each Way,7,Lose
Doncaster,Gonalston Cloud,Each Way,7.5,Win
Lingfield,Shirataki,Win,3.75,Lose
Huntingdon,At The Top,Win,2.5,Lose
Dundalk,Primo Uomo,Each Way,3.5,Lose
Doncaster,Mccabe Creek,Each Way,12,Win
Doncaster,Shaneshill,Win,2.88,Lose
Doncaster,Morning Run,Win,2.25,Lose
Hamilton,Champagne At Tara,Each Way,7,Lose
Sedgefield,Libby Mae,Win,3.5,Lose
Punchestown,Mall Dini,Each Way,7,Win
Punchestown,Riverside City,Win,5.5,Lose
Wolverhampton,Lady Fandango,Each Way,4.5,Lose
Plumpton,Get Ready Freddy,Each Way,10,Lose
Kempton,Head Space,Win,4.5,Lose
SouthWell,Northside Prince,Each Way,8,Win
SouthWell,Razin Hell,Each Way,5,Win
Down Royal,Mount Gunnery,Win,4,Lose
Down Royal,Peter From Paris,Win,11,Lose
Leicester,Brave Helios,Each Way,8,Lose
Ludlow,Hill Fort,Each Way,11,Lose
SouthWell,Major Muscari,Each Way,8.5,Lose
Meydan,Ertijaal,Win,2.38,Win
Meydan,Prayer For Relief,Each Way,7,Lose
Meydan,Le Bernadin,Win,5,Lose
Chepstow,Robin Of Locksley,Win,2.75,Lose
Lingfield,Project Bluebook,Win,3.25,Lose
Dundalk,Captain Midnight,Each Way,3.75,Lose
Wolverhampton,Qasser,Each Way,12,Lose
Goodwood,Good As Gold,Each Way,6.5,Lose
Sandown,Bristol De Mai,Win,2.62,Win
Lingfield,Grendisar,Each Way,5,Win
Sandown,Pinnacle Panda,Each Way,8,Win
Musselburgh,Full Shift,Each Way,4,Lose
Musselburgh,Shrewd,Each Way,7,Win
Wolverhampton,Binky Blue,Win,2.63,Lose
Market Rasen,Milly Baloo,Win,4,Lose
SouthWell,Clubland,Each Way,7,Win
SouthWell,Razin Hell,Win,2.75,Lose
Carlisle,Berkshire Downs,Win,3.25,Lose
Huntingdon,Baoulet Delaroque,Win,3,Win
Doncaster,Hollywoodien,Win,9,Lose
Meydan,Mujaarib,Each Way,7,Lose
Chelmsford,Welliesinthewater,Win,3,Lose
Wetherby,Lake View Lad,Win,3.5,Win
Kempton,Silvergrove,Win,4,Win
Dundalk,Enzani,Each Way,5,Lose
Newbury,Emerging Talent,Win,1.83,Lose
Newbury,Millanisi Boy,Each Way,6,Lose
Listowel,Blacklister,Win,2.62,Win
Newbury,Top Gamble,Win,4,Win
Warwick,Back By Midnight,Each Way,15,Lose
Exeter,West Approach,Each Way,9,Win
SouthWell,Moon River,Each Way,8,Win
Catterick,Gonalston Cloud,Win,3,Win
Catterick,Warrantor,Each Way,7,Lose
Wolverhampton,Elysian Prince,Each Way,6.5,Lose
SouthWell,Kemsing,Win,2.2,Win
Ayr,Yes Tom,Win,3.5,Lose
Towcester,Que Sera,Win,2.62,Lose
Towcester,Lakeshore Lady,Each Way,8,Lose
Lingfield,Arch Villain,Win,3,Win
Kelso,Road To Gold,Each Way,5,Win
Galway,Gallic Warrior,Win,2.1,Lose
Meydan,Fils Anges,Each Way,6.5,Win
Meydan,Roi De Vitesse,Each Way,15,Win
Meydan,Sir Maximillian,Each Way,11,Win
Meydan,Udododontu,Win,3.75,Lose
Sandown,Tara Flow,Win,5,Lose
Fakenham,Rock N Rhythm,Win,7.5,Lose
Dundalk,Coto,Each Way,8,Lose
Wolverhampton,Ikerrin Road,Each Way,5.5,Win
Haydock,Gas Line Boy,Win,6.5,Lose
Ascot,Royal Regatta,Each Way,10,Win
Ascot,Gran Turina,Each Way,9,Lose
Galway,Gala Ball,Win,2.1,Win
Aintree,Uaintseenothingyet,Win,3,Lose
Market Rasen,Secret Door,Win,2.75,Lose
Lingfield,Queen Aggie,Each Way,5.5,Lose
Wolverhampton,Royal Birth,Each Way,5.5,Lose
Taunton,Sonny The One,Win,3.25,Lose
Wolverhampton,Wolowitz,Win,3.5,Win
Lingfield,Believe It,Win,2.25,Win
Lingfield,Ruler Of The Nile,Win,2.38,Lose
Kempton,Mezmaar,Each Way,5.5,Lose
Meydan,Active Spirit,Win,3,Lose
Huntingdon,Hollow Blue Sky,Win,3.25,Lose
Sedgefield,Almost Gemini,Each Way,5,Win
Hamilton,Championship,Each Way,17,Lose
Meydan,Safety Check,Win,2.38,Win
Meydan,Naadir,Win,3.5,Lose
Warwick,Deep Trouble,Win,5,Lose
Dundalk,Brokopondo,Each Way,5.5,Lose
Dundalk,Ruby Gates,Win,3.25,Lose
